connector_id,source_label,notation,pollutant_label,source_uom,observed_property_code,mapping_kind,is_aqi_eligible,is_active,confidence,notes,match_method,detected_units,site_count,file_count,nonempty_value_count,sample_file
1,calcium in PM10,,calcium in PM10,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1498),2,2,1498,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,calcium in PM2.5,,calcium in PM2.5,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1461),2,2,1461,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,Carbon monoxide,,Carbon monoxide,mg/m3,co,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,mgm-3 (31478),7,7,31478,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=BEL2/year=2026/BEL2_2026.csv
1,chloride in PM10,,chloride in PM10,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1930),2,2,1930,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,chloride in PM2.5,,chloride in PM2.5,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (1889),2,2,1889,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,cis-2-butene,,cis-2-butene,ug/m3,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,ugm-3 (2772),2,2,2772,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,cyclopentane,,cyclopentane,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,ethane,,ethane,ug/m3,c2h6,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (9385),4,4,9385,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,ethanol,,ethanol,,,raw_observed_property,false,true,inferred,Generated from cached UK-AIR annual CSV headings; review before loading.,unmatched,,1,1,0,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=HP1/year=2026/HP1_2026.csv
1,ethene,,ethene,ug/m3,h2cch2,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (9288),4,4,9288,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
1,ethylbenzene,,ethylbenzene,ug/m3,c6h5c2h5,raw_observed_property,false,true,explicit,Generated from cached UK-AIR annual CSV headings; review before loading.,built_in_exact,ugm-3 (8572),4,4,8572,/Users/mikehinford/uk-aq-history-integrity/state/CIC-Test/source-cache/sos/site_ref=ACTH/year=2026/ACTH_2026.csv
